	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52016	ARTHUR	2020	5	16	2020-05-16 18:00:00	28.0	-78.7	30.0	1008.0
52017	ARTHUR	2020	5	17	2020-05-17 00:00:00	28.9	-78.0	35.0	1006.0
52018	ARTHUR	2020	5	17	2020-05-17 06:00:00	29.6	-77.6	35.0	1004.0
52019	ARTHUR	2020	5	17	2020-05-17 12:00:00	30.3	-77.5	35.0	1003.0
52020	ARTHUR	2020	5	17	2020-05-17 18:00:00	31.0	-77.3	40.0	1003.0
52021	ARTHUR	2020	5	18	2020-05-18 00:00:00	31.9	-77.0	40.0	1003.0
52022	ARTHUR	2020	5	18	2020-05-18 06:00:00	33.1	-76.7	40.0	1002.0
52023	ARTHUR	2020	5	18	2020-05-18 12:00:00	34.4	-75.9	45.0	1000.0
52024	ARTHUR	2020	5	18	2020-05-18 18:00:00	35.5	-74.7	45.0	993.0
52025	ARTHUR	2020	5	19	2020-05-19 00:00:00	36.2	-73.1	50.0	991.0
52026	ARTHUR	2020	5	19	2020-05-19 06:00:00	36.8	-71.4	50.0	990.0
52027	ARTHUR	2020	5	19	2020-05-19 12:00:00	37.0	-69.5	55.0	989.0
52028	ARTHUR	2020	5	19	2020-05-19 18:00:00	36.9	-67.8	50.0	991.0
52029	ARTHUR	2020	5	20	2020-05-20 00:00:00	36.2	-66.8	50.0	993.0
52030	ARTHUR	2020	5	20	2020-05-20 06:00:00	35.5	-66.0	50.0	997.0
52031	ARTHUR	2020	5	20	2020-05-20 12:00:00	34.6	-65.6	50.0	1002.0
52032	ARTHUR	2020	5	20	2020-05-20 18:00:00	33.7	-65.3	45.0	1006.0
52033	ARTHUR	2020	5	21	2020-05-21 00:00:00	32.8	-65.0	40.0	1008.0
