	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52569	VICKY	2020	9	14	2020-09-14 00:00:00	17.5	-28.2	30.0	1008.0
52570	VICKY	2020	9	14	2020-09-14 06:00:00	18.0	-28.3	35.0	1006.0
52571	VICKY	2020	9	14	2020-09-14 12:00:00	18.5	-28.6	40.0	1003.0
52572	VICKY	2020	9	14	2020-09-14 18:00:00	19.0	-29.1	45.0	1002.0
52573	VICKY	2020	9	15	2020-09-15 00:00:00	19.5	-29.6	45.0	1002.0
52574	VICKY	2020	9	15	2020-09-15 06:00:00	20.0	-30.1	45.0	1002.0
52575	VICKY	2020	9	15	2020-09-15 12:00:00	20.5	-30.8	45.0	1001.0
52576	VICKY	2020	9	15	2020-09-15 18:00:00	21.0	-31.6	45.0	1001.0
52577	VICKY	2020	9	16	2020-09-16 00:00:00	21.4	-32.6	45.0	1004.0
52578	VICKY	2020	9	16	2020-09-16 06:00:00	21.5	-33.5	40.0	1005.0
52579	VICKY	2020	9	16	2020-09-16 12:00:00	21.4	-34.3	35.0	1007.0
52580	VICKY	2020	9	16	2020-09-16 18:00:00	21.5	-35.0	35.0	1007.0
52581	VICKY	2020	9	17	2020-09-17 00:00:00	21.6	-35.6	35.0	1007.0
52582	VICKY	2020	9	17	2020-09-17 06:00:00	21.7	-36.4	35.0	1008.0
52583	VICKY	2020	9	17	2020-09-17 12:00:00	21.6	-37.6	30.0	1008.0
52584	VICKY	2020	9	17	2020-09-17 18:00:00	21.3	-38.7	25.0	1008.0
52585	VICKY	2020	9	18	2020-09-18 00:00:00	20.8	-39.4	25.0	1009.0
52586	VICKY	2020	9	18	2020-09-18 06:00:00	20.5	-40.2	25.0	1009.0
52587	VICKY	2020	9	18	2020-09-18 12:00:00	20.4	-41.0	25.0	1009.0
52588	VICKY	2020	9	18	2020-09-18 18:00:00	20.3	-41.9	25.0	1009.0
52589	VICKY	2020	9	19	2020-09-19 00:00:00	20.1	-42.9	20.0	1010.0
52590	VICKY	2020	9	19	2020-09-19 06:00:00	19.9	-44.0	20.0	1011.0
52591	VICKY	2020	9	19	2020-09-19 12:00:00	19.6	-45.1	20.0	1011.0
52592	VICKY	2020	9	19	2020-09-19 18:00:00	19.3	-46.3	20.0	1012.0
