	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52238	JOSEPHINE	2020	8	10	2020-08-10 18:00:00	11.1	-34.2	25.0	1009.0
52239	JOSEPHINE	2020	8	11	2020-08-11 00:00:00	11.3	-35.4	30.0	1008.0
52240	JOSEPHINE	2020	8	11	2020-08-11 06:00:00	11.4	-36.8	30.0	1008.0
52241	JOSEPHINE	2020	8	11	2020-08-11 12:00:00	11.5	-38.2	30.0	1008.0
52242	JOSEPHINE	2020	8	11	2020-08-11 18:00:00	11.7	-39.6	30.0	1008.0
52243	JOSEPHINE	2020	8	12	2020-08-12 00:00:00	11.9	-41.0	30.0	1008.0
52244	JOSEPHINE	2020	8	12	2020-08-12 06:00:00	12.0	-42.3	30.0	1008.0
52245	JOSEPHINE	2020	8	12	2020-08-12 12:00:00	12.1	-43.7	30.0	1007.0
52246	JOSEPHINE	2020	8	12	2020-08-12 18:00:00	12.2	-44.9	30.0	1007.0
52247	JOSEPHINE	2020	8	13	2020-08-13 00:00:00	12.4	-46.1	30.0	1007.0
52248	JOSEPHINE	2020	8	13	2020-08-13 06:00:00	12.7	-47.3	30.0	1007.0
52249	JOSEPHINE	2020	8	13	2020-08-13 12:00:00	13.4	-48.6	40.0	1005.0
52250	JOSEPHINE	2020	8	13	2020-08-13 18:00:00	14.0	-50.0	40.0	1005.0
52251	JOSEPHINE	2020	8	14	2020-08-14 00:00:00	14.5	-51.3	35.0	1005.0
52252	JOSEPHINE	2020	8	14	2020-08-14 06:00:00	15.1	-52.8	35.0	1005.0
52253	JOSEPHINE	2020	8	14	2020-08-14 12:00:00	16.2	-54.2	35.0	1005.0
52254	JOSEPHINE	2020	8	14	2020-08-14 18:00:00	17.4	-55.6	40.0	1004.0
52255	JOSEPHINE	2020	8	15	2020-08-15 00:00:00	18.0	-56.9	40.0	1004.0
52256	JOSEPHINE	2020	8	15	2020-08-15 06:00:00	18.4	-58.3	40.0	1005.0
52257	JOSEPHINE	2020	8	15	2020-08-15 12:00:00	18.8	-59.7	35.0	1007.0
52258	JOSEPHINE	2020	8	15	2020-08-15 18:00:00	19.6	-60.9	35.0	1009.0
52259	JOSEPHINE	2020	8	16	2020-08-16 00:00:00	19.8	-62.1	35.0	1009.0
52260	JOSEPHINE	2020	8	16	2020-08-16 06:00:00	20.0	-63.4	30.0	1010.0
52261	JOSEPHINE	2020	8	16	2020-08-16 12:00:00	20.2	-64.5	30.0	1010.0
