	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52332	OMAR	2020	8	30	2020-08-30 18:00:00	30.2	-80.7	25.0	1011.0
52333	OMAR	2020	8	31	2020-08-31 00:00:00	30.2	-79.4	25.0	1010.0
52334	OMAR	2020	8	31	2020-08-31 06:00:00	30.6	-78.2	30.0	1009.0
52335	OMAR	2020	8	31	2020-08-31 12:00:00	31.5	-77.4	30.0	1009.0
52336	OMAR	2020	8	31	2020-08-31 18:00:00	32.2	-76.9	30.0	1008.0
52337	OMAR	2020	9	1	2020-09-01 00:00:00	32.9	-76.2	30.0	1007.0
52338	OMAR	2020	9	1	2020-09-01 06:00:00	33.8	-75.0	30.0	1005.0
52339	OMAR	2020	9	1	2020-09-01 12:00:00	34.6	-73.7	35.0	1003.0
52340	OMAR	2020	9	1	2020-09-01 18:00:00	35.2	-72.2	35.0	1003.0
52341	OMAR	2020	9	2	2020-09-02 00:00:00	35.8	-70.7	35.0	1003.0
52342	OMAR	2020	9	2	2020-09-02 06:00:00	36.1	-69.3	35.0	1003.0
52343	OMAR	2020	9	2	2020-09-02 12:00:00	36.2	-68.0	35.0	1003.0
52344	OMAR	2020	9	2	2020-09-02 18:00:00	36.2	-66.4	35.0	1004.0
52345	OMAR	2020	9	3	2020-09-03 00:00:00	36.2	-64.8	30.0	1005.0
52346	OMAR	2020	9	3	2020-09-03 06:00:00	36.1	-63.0	30.0	1005.0
52347	OMAR	2020	9	3	2020-09-03 12:00:00	36.1	-61.7	30.0	1005.0
52348	OMAR	2020	9	3	2020-09-03 18:00:00	35.6	-60.5	30.0	1005.0
52349	OMAR	2020	9	4	2020-09-04 00:00:00	35.3	-59.5	30.0	1006.0
52350	OMAR	2020	9	4	2020-09-04 06:00:00	35.3	-58.8	30.0	1006.0
52351	OMAR	2020	9	4	2020-09-04 12:00:00	35.3	-58.0	30.0	1006.0
52352	OMAR	2020	9	4	2020-09-04 18:00:00	35.3	-57.5	30.0	1006.0
52353	OMAR	2020	9	5	2020-09-05 00:00:00	35.5	-57.3	30.0	1007.0
52354	OMAR	2020	9	5	2020-09-05 06:00:00	36.0	-57.3	30.0	1008.0
52355	OMAR	2020	9	5	2020-09-05 12:00:00	36.8	-57.3	30.0	1009.0
52356	OMAR	2020	9	5	2020-09-05 18:00:00	37.7	-57.1	30.0	1010.0
52357	OMAR	2020	9	6	2020-09-06 00:00:00	38.8	-56.8	30.0	1011.0
52358	OMAR	2020	9	6	2020-09-06 06:00:00	40.4	-55.6	30.0	1012.0
