	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52664	GAMMA	2020	10	2	2020-10-02 00:00:00	16.6	-83.3	30.0	1006.0
52665	GAMMA	2020	10	2	2020-10-02 06:00:00	17.2	-83.9	30.0	1006.0
52666	GAMMA	2020	10	2	2020-10-02 12:00:00	17.8	-84.4	30.0	1005.0
52667	GAMMA	2020	10	2	2020-10-02 18:00:00	18.4	-85.0	35.0	1002.0
52668	GAMMA	2020	10	3	2020-10-03 00:00:00	18.8	-85.8	40.0	998.0
52669	GAMMA	2020	10	3	2020-10-03 06:00:00	19.2	-86.6	45.0	995.0
52670	GAMMA	2020	10	3	2020-10-03 12:00:00	19.7	-87.1	55.0	986.0
52671	GAMMA	2020	10	3	2020-10-03 16:45:00	20.2	-87.4	65.0	978.0
52672	GAMMA	2020	10	3	2020-10-03 18:00:00	20.4	-87.5	60.0	980.0
52673	GAMMA	2020	10	4	2020-10-04 00:00:00	21.0	-87.9	50.0	991.0
52674	GAMMA	2020	10	4	2020-10-04 06:00:00	21.8	-88.2	45.0	997.0
52675	GAMMA	2020	10	4	2020-10-04 12:00:00	22.3	-88.1	50.0	995.0
52676	GAMMA	2020	10	4	2020-10-04 18:00:00	22.7	-87.7	55.0	994.0
52677	GAMMA	2020	10	5	2020-10-05 00:00:00	22.9	-87.4	50.0	998.0
52678	GAMMA	2020	10	5	2020-10-05 06:00:00	22.8	-87.4	45.0	999.0
52679	GAMMA	2020	10	5	2020-10-05 12:00:00	22.6	-87.5	40.0	1001.0
52680	GAMMA	2020	10	5	2020-10-05 18:00:00	22.3	-87.9	30.0	1005.0
52681	GAMMA	2020	10	6	2020-10-06 00:00:00	21.9	-88.2	30.0	1005.0
52682	GAMMA	2020	10	6	2020-10-06 03:00:00	21.6	-88.4	30.0	1005.0
52683	GAMMA	2020	10	6	2020-10-06 06:00:00	21.3	-88.5	30.0	1005.0
52684	GAMMA	2020	10	6	2020-10-06 12:00:00	20.6	-88.5	25.0	1007.0
