	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52685	DELTA	2020	10	4	2020-10-04 18:00:00	16.4	-76.2	30.0	1006.0
52686	DELTA	2020	10	5	2020-10-05 00:00:00	16.4	-77.0	30.0	1006.0
52687	DELTA	2020	10	5	2020-10-05 06:00:00	16.4	-77.7	30.0	1006.0
52688	DELTA	2020	10	5	2020-10-05 12:00:00	16.4	-78.4	40.0	1004.0
52689	DELTA	2020	10	5	2020-10-05 18:00:00	16.4	-79.1	55.0	985.0
52690	DELTA	2020	10	6	2020-10-06 00:00:00	16.6	-79.8	65.0	980.0
52691	DELTA	2020	10	6	2020-10-06 06:00:00	17.1	-80.7	75.0	973.0
52692	DELTA	2020	10	6	2020-10-06 12:00:00	17.8	-82.0	100.0	959.0
52693	DELTA	2020	10	6	2020-10-06 18:00:00	18.5	-83.3	120.0	953.0
52694	DELTA	2020	10	7	2020-10-07 00:00:00	19.3	-84.6	100.0	962.0
52695	DELTA	2020	10	7	2020-10-07 06:00:00	20.1	-85.9	90.0	968.0
52696	DELTA	2020	10	7	2020-10-07 10:30:00	20.8	-86.9	90.0	971.0
52697	DELTA	2020	10	7	2020-10-07 12:00:00	21.1	-87.4	85.0	973.0
52698	DELTA	2020	10	7	2020-10-07 18:00:00	21.7	-88.8	75.0	978.0
52699	DELTA	2020	10	8	2020-10-08 00:00:00	22.3	-90.2	80.0	973.0
52700	DELTA	2020	10	8	2020-10-08 06:00:00	23.0	-91.4	85.0	973.0
52701	DELTA	2020	10	8	2020-10-08 12:00:00	23.7	-92.4	90.0	969.0
52702	DELTA	2020	10	8	2020-10-08 18:00:00	24.5	-93.1	100.0	960.0
52703	DELTA	2020	10	9	2020-10-09 00:00:00	25.3	-93.5	105.0	953.0
52704	DELTA	2020	10	9	2020-10-09 06:00:00	26.3	-93.7	105.0	953.0
52705	DELTA	2020	10	9	2020-10-09 12:00:00	27.5	-93.8	100.0	958.0
52706	DELTA	2020	10	9	2020-10-09 18:00:00	28.7	-93.6	90.0	966.0
52707	DELTA	2020	10	9	2020-10-09 23:00:00	29.8	-93.1	85.0	970.0
52708	DELTA	2020	10	10	2020-10-10 00:00:00	30.1	-92.9	75.0	971.0
52709	DELTA	2020	10	10	2020-10-10 06:00:00	31.4	-92.2	50.0	985.0
52710	DELTA	2020	10	10	2020-10-10 12:00:00	32.5	-91.4	35.0	993.0
52711	DELTA	2020	10	10	2020-10-10 18:00:00	33.3	-90.6	25.0	998.0
52712	DELTA	2020	10	11	2020-10-11 00:00:00	33.9	-89.6	25.0	1002.0
52713	DELTA	2020	10	11	2020-10-11 06:00:00	34.4	-88.6	25.0	1004.0
52714	DELTA	2020	10	11	2020-10-11 12:00:00	34.8	-87.5	20.0	1005.0
52715	DELTA	2020	10	11	2020-10-11 18:00:00	35.1	-86.3	20.0	1007.0
