	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52311	MARCO	2020	8	20	2020-08-20 18:00:00	14.1	-80.5	30.0	1009.0
52312	MARCO	2020	8	21	2020-08-21 00:00:00	14.6	-81.8	30.0	1007.0
52313	MARCO	2020	8	21	2020-08-21 06:00:00	15.3	-82.9	30.0	1007.0
52314	MARCO	2020	8	21	2020-08-21 12:00:00	16.3	-83.7	30.0	1008.0
52315	MARCO	2020	8	21	2020-08-21 18:00:00	17.4	-84.2	30.0	1007.0
52316	MARCO	2020	8	22	2020-08-22 00:00:00	18.3	-84.6	35.0	1006.0
52317	MARCO	2020	8	22	2020-08-22 06:00:00	19.2	-85.1	40.0	1004.0
52318	MARCO	2020	8	22	2020-08-22 12:00:00	20.3	-85.2	55.0	993.0
52319	MARCO	2020	8	22	2020-08-22 18:00:00	21.3	-85.5	55.0	992.0
52320	MARCO	2020	8	23	2020-08-23 00:00:00	22.2	-86.1	55.0	994.0
52321	MARCO	2020	8	23	2020-08-23 06:00:00	23.2	-86.7	60.0	994.0
52322	MARCO	2020	8	23	2020-08-23 12:00:00	24.3	-87.2	65.0	991.0
52323	MARCO	2020	8	23	2020-08-23 18:00:00	25.3	-87.4	65.0	992.0
52324	MARCO	2020	8	24	2020-08-24 00:00:00	26.4	-87.6	55.0	997.0
52325	MARCO	2020	8	24	2020-08-24 06:00:00	27.3	-87.9	50.0	1003.0
52326	MARCO	2020	8	24	2020-08-24 12:00:00	28.1	-88.3	45.0	1006.0
52327	MARCO	2020	8	24	2020-08-24 18:00:00	28.7	-88.6	40.0	1007.0
52328	MARCO	2020	8	25	2020-08-25 00:00:00	28.9	-89.3	35.0	1006.0
52329	MARCO	2020	8	25	2020-08-25 06:00:00	28.7	-90.5	25.0	1008.0
52330	MARCO	2020	8	25	2020-08-25 12:00:00	28.6	-91.4	20.0	1009.0
52331	MARCO	2020	8	25	2020-08-25 18:00:00	29.1	-92.3	20.0	1009.0
