	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52627	WILFRED	2020	9	17	2020-09-17 00:00:00	10.2	-25.0	25.0	1009.0
52628	WILFRED	2020	9	17	2020-09-17 06:00:00	10.3	-25.9	25.0	1009.0
52629	WILFRED	2020	9	17	2020-09-17 12:00:00	10.5	-27.0	30.0	1008.0
52630	WILFRED	2020	9	17	2020-09-17 18:00:00	10.8	-28.1	35.0	1007.0
52631	WILFRED	2020	9	18	2020-09-18 00:00:00	11.1	-29.3	35.0	1006.0
52632	WILFRED	2020	9	18	2020-09-18 06:00:00	11.4	-30.6	35.0	1006.0
52633	WILFRED	2020	9	18	2020-09-18 12:00:00	11.7	-32.0	35.0	1006.0
52634	WILFRED	2020	9	18	2020-09-18 18:00:00	12.0	-33.5	35.0	1006.0
52635	WILFRED	2020	9	19	2020-09-19 00:00:00	12.4	-35.0	35.0	1006.0
52636	WILFRED	2020	9	19	2020-09-19 06:00:00	12.8	-36.2	35.0	1006.0
52637	WILFRED	2020	9	19	2020-09-19 12:00:00	13.2	-37.3	35.0	1006.0
52638	WILFRED	2020	9	19	2020-09-19 18:00:00	13.7	-38.5	35.0	1006.0
52639	WILFRED	2020	9	20	2020-09-20 00:00:00	14.3	-39.9	35.0	1007.0
52640	WILFRED	2020	9	20	2020-09-20 06:00:00	14.9	-41.5	35.0	1007.0
52641	WILFRED	2020	9	20	2020-09-20 12:00:00	15.4	-43.2	30.0	1008.0
52642	WILFRED	2020	9	20	2020-09-20 18:00:00	15.8	-45.0	30.0	1009.0
52643	WILFRED	2020	9	21	2020-09-21 00:00:00	15.8	-46.7	30.0	1009.0
