	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52840	THETA	2020	11	8	2020-11-08 12:00:00	28.4	-47.5	25.0	1010.0
52841	THETA	2020	11	8	2020-11-08 18:00:00	28.4	-46.8	25.0	1010.0
52842	THETA	2020	11	9	2020-11-09 00:00:00	28.5	-45.9	25.0	1010.0
52843	THETA	2020	11	9	2020-11-09 06:00:00	28.6	-44.9	30.0	1007.0
52844	THETA	2020	11	9	2020-11-09 12:00:00	28.8	-43.7	35.0	1005.0
52845	THETA	2020	11	9	2020-11-09 18:00:00	28.8	-42.4	40.0	1003.0
52846	THETA	2020	11	10	2020-11-10 00:00:00	28.8	-41.0	50.0	999.0
52847	THETA	2020	11	10	2020-11-10 06:00:00	28.8	-39.5	55.0	994.0
52848	THETA	2020	11	10	2020-11-10 12:00:00	28.9	-38.0	60.0	989.0
52849	THETA	2020	11	10	2020-11-10 18:00:00	29.0	-36.7	60.0	987.0
52850	THETA	2020	11	11	2020-11-11 00:00:00	29.2	-35.8	55.0	988.0
52851	THETA	2020	11	11	2020-11-11 06:00:00	29.4	-34.9	55.0	988.0
52852	THETA	2020	11	11	2020-11-11 12:00:00	29.6	-33.8	55.0	989.0
52853	THETA	2020	11	11	2020-11-11 18:00:00	30.3	-32.5	55.0	989.0
52854	THETA	2020	11	12	2020-11-12 00:00:00	31.1	-31.9	60.0	987.0
52855	THETA	2020	11	12	2020-11-12 06:00:00	31.5	-30.8	55.0	988.0
52856	THETA	2020	11	12	2020-11-12 12:00:00	31.5	-29.4	55.0	989.0
52857	THETA	2020	11	12	2020-11-12 18:00:00	31.7	-28.0	55.0	990.0
52858	THETA	2020	11	13	2020-11-13 00:00:00	31.9	-26.7	50.0	992.0
52859	THETA	2020	11	13	2020-11-13 06:00:00	31.9	-25.4	50.0	993.0
52860	THETA	2020	11	13	2020-11-13 12:00:00	31.9	-24.2	45.0	994.0
52861	THETA	2020	11	13	2020-11-13 18:00:00	32.0	-23.1	45.0	996.0
52862	THETA	2020	11	14	2020-11-14 00:00:00	32.0	-22.1	40.0	997.0
52863	THETA	2020	11	14	2020-11-14 06:00:00	31.9	-21.2	35.0	999.0
52864	THETA	2020	11	14	2020-11-14 12:00:00	31.8	-20.4	35.0	1000.0
52865	THETA	2020	11	14	2020-11-14 18:00:00	31.7	-19.6	35.0	1002.0
52866	THETA	2020	11	15	2020-11-15 00:00:00	31.7	-18.9	35.0	1003.0
52867	THETA	2020	11	15	2020-11-15 06:00:00	31.6	-18.5	30.0	1005.0
52868	THETA	2020	11	15	2020-11-15 12:00:00	31.4	-18.3	30.0	1009.0
52869	THETA	2020	11	15	2020-11-15 18:00:00	31.6	-18.0	30.0	1012.0
52870	THETA	2020	11	16	2020-11-16 00:00:00	32.1	-17.9	30.0	1013.0
52871	THETA	2020	11	16	2020-11-16 06:00:00	32.7	-18.2	25.0	1014.0
52872	THETA	2020	11	16	2020-11-16 12:00:00	33.4	-18.6	25.0	1014.0
