	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52757	ZETA	2020	10	24	2020-10-24 12:00:00	18.4	-82.6	25.0	1007.0
52758	ZETA	2020	10	24	2020-10-24 18:00:00	18.2	-83.0	30.0	1006.0
52759	ZETA	2020	10	25	2020-10-25 00:00:00	18.0	-83.2	35.0	1005.0
52760	ZETA	2020	10	25	2020-10-25 06:00:00	17.7	-83.5	40.0	1004.0
52761	ZETA	2020	10	25	2020-10-25 12:00:00	17.8	-83.6	45.0	1003.0
52762	ZETA	2020	10	25	2020-10-25 18:00:00	18.0	-83.7	50.0	1000.0
52763	ZETA	2020	10	26	2020-10-26 00:00:00	18.2	-83.8	55.0	996.0
52764	ZETA	2020	10	26	2020-10-26 06:00:00	18.5	-84.1	65.0	993.0
52765	ZETA	2020	10	26	2020-10-26 12:00:00	18.9	-84.8	65.0	990.0
52766	ZETA	2020	10	26	2020-10-26 18:00:00	19.4	-85.7	70.0	984.0
52767	ZETA	2020	10	27	2020-10-27 00:00:00	19.9	-86.6	70.0	980.0
52768	ZETA	2020	10	27	2020-10-27 03:55:00	20.4	-87.4	75.0	977.0
52769	ZETA	2020	10	27	2020-10-27 06:00:00	20.6	-87.9	65.0	981.0
52770	ZETA	2020	10	27	2020-10-27 12:00:00	21.3	-89.0	60.0	985.0
52771	ZETA	2020	10	27	2020-10-27 18:00:00	22.2	-90.0	55.0	988.0
52772	ZETA	2020	10	28	2020-10-28 00:00:00	23.2	-90.8	55.0	990.0
52773	ZETA	2020	10	28	2020-10-28 06:00:00	24.4	-91.5	65.0	984.0
52774	ZETA	2020	10	28	2020-10-28 12:00:00	26.0	-91.7	80.0	978.0
52775	ZETA	2020	10	28	2020-10-28 18:00:00	28.0	-91.1	95.0	973.0
52776	ZETA	2020	10	28	2020-10-28 21:00:00	29.2	-90.6	100.0	970.0
52777	ZETA	2020	10	29	2020-10-29 00:00:00	30.2	-89.9	85.0	973.0
52778	ZETA	2020	10	29	2020-10-29 06:00:00	32.8	-87.5	60.0	986.0
52779	ZETA	2020	10	29	2020-10-29 12:00:00	35.3	-83.6	45.0	990.0
52780	ZETA	2020	10	29	2020-10-29 18:00:00	37.8	-78.2	45.0	992.0
52781	ZETA	2020	10	30	2020-10-30 00:00:00	39.5	-71.7	45.0	993.0
