	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52782	ETA	2020	10	31	2020-10-31 18:00:00	14.9	-72.4	30.0	1006.0
52783	ETA	2020	11	1	2020-11-01 00:00:00	14.9	-73.6	35.0	1005.0
52784	ETA	2020	11	1	2020-11-01 06:00:00	14.9	-75.1	35.0	1005.0
52785	ETA	2020	11	1	2020-11-01 12:00:00	14.9	-76.7	40.0	1002.0
52786	ETA	2020	11	1	2020-11-01 18:00:00	14.9	-78.2	50.0	992.0
52787	ETA	2020	11	2	2020-11-02 00:00:00	14.9	-79.4	60.0	988.0
52788	ETA	2020	11	2	2020-11-02 06:00:00	14.9	-80.4	70.0	982.0
52789	ETA	2020	11	2	2020-11-02 12:00:00	14.8	-81.2	90.0	972.0
52790	ETA	2020	11	2	2020-11-02 18:00:00	14.7	-82.0	115.0	948.0
52791	ETA	2020	11	3	2020-11-03 00:00:00	14.3	-82.5	130.0	929.0
52792	ETA	2020	11	3	2020-11-03 06:00:00	14.0	-82.9	130.0	922.0
52793	ETA	2020	11	3	2020-11-03 12:00:00	13.6	-83.1	125.0	936.0
52794	ETA	2020	11	3	2020-11-03 18:00:00	13.7	-83.3	120.0	940.0
52795	ETA	2020	11	3	2020-11-03 21:00:00	13.8	-83.5	120.0	940.0
52796	ETA	2020	11	4	2020-11-04 00:00:00	13.8	-83.7	95.0	965.0
52797	ETA	2020	11	4	2020-11-04 06:00:00	13.8	-84.3	70.0	980.0
52798	ETA	2020	11	4	2020-11-04 12:00:00	13.8	-84.9	50.0	993.0
52799	ETA	2020	11	4	2020-11-04 18:00:00	13.9	-85.4	40.0	998.0
52800	ETA	2020	11	5	2020-11-05 00:00:00	14.0	-86.0	30.0	1002.0
52801	ETA	2020	11	5	2020-11-05 06:00:00	14.2	-86.7	25.0	1006.0
52802	ETA	2020	11	5	2020-11-05 12:00:00	14.5	-87.5	25.0	1005.0
52803	ETA	2020	11	5	2020-11-05 18:00:00	15.3	-87.8	30.0	1005.0
52804	ETA	2020	11	6	2020-11-06 00:00:00	16.2	-87.8	30.0	1004.0
52805	ETA	2020	11	6	2020-11-06 06:00:00	16.7	-87.6	30.0	1004.0
52806	ETA	2020	11	6	2020-11-06 12:00:00	16.9	-87.4	30.0	1004.0
52807	ETA	2020	11	6	2020-11-06 18:00:00	17.1	-87.1	30.0	1004.0
52808	ETA	2020	11	7	2020-11-07 00:00:00	17.5	-86.4	30.0	1002.0
52809	ETA	2020	11	7	2020-11-07 06:00:00	18.2	-85.1	35.0	1001.0
52810	ETA	2020	11	7	2020-11-07 12:00:00	19.1	-83.2	45.0	997.0
52811	ETA	2020	11	7	2020-11-07 18:00:00	19.8	-81.5	55.0	994.0
52812	ETA	2020	11	8	2020-11-08 00:00:00	20.4	-80.2	55.0	991.0
52813	ETA	2020	11	8	2020-11-08 06:00:00	21.1	-79.5	55.0	991.0
52814	ETA	2020	11	8	2020-11-08 08:55:00	21.5	-79.2	55.0	991.0
52815	ETA	2020	11	8	2020-11-08 12:00:00	22.2	-79.0	50.0	993.0
52816	ETA	2020	11	8	2020-11-08 18:00:00	23.5	-79.2	55.0	993.0
52817	ETA	2020	11	9	2020-11-09 00:00:00	24.5	-80.1	55.0	993.0
52818	ETA	2020	11	9	2020-11-09 04:00:00	24.9	-80.7	55.0	993.0
52819	ETA	2020	11	9	2020-11-09 06:00:00	25.0	-81.4	55.0	992.0
52820	ETA	2020	11	9	2020-11-09 12:00:00	24.9	-82.9	50.0	992.0
52821	ETA	2020	11	9	2020-11-09 18:00:00	24.2	-84.1	45.0	995.0
52822	ETA	2020	11	10	2020-11-10 00:00:00	23.4	-85.0	45.0	995.0
52823	ETA	2020	11	10	2020-11-10 06:00:00	23.0	-85.4	45.0	995.0
52824	ETA	2020	11	10	2020-11-10 12:00:00	22.6	-85.3	50.0	992.0
52825	ETA	2020	11	10	2020-11-10 18:00:00	22.9	-85.1	50.0	992.0
52826	ETA	2020	11	11	2020-11-11 00:00:00	23.5	-84.6	55.0	990.0
52827	ETA	2020	11	11	2020-11-11 06:00:00	24.5	-84.2	60.0	987.0
52828	ETA	2020	11	11	2020-11-11 12:00:00	25.8	-83.9	65.0	983.0
52829	ETA	2020	11	11	2020-11-11 18:00:00	26.8	-83.7	60.0	990.0
52830	ETA	2020	11	12	2020-11-12 00:00:00	27.9	-83.5	55.0	992.0
52831	ETA	2020	11	12	2020-11-12 06:00:00	28.7	-83.2	50.0	994.0
52832	ETA	2020	11	12	2020-11-12 09:20:00	29.2	-82.9	45.0	996.0
52833	ETA	2020	11	12	2020-11-12 12:00:00	29.7	-82.5	40.0	1001.0
52834	ETA	2020	11	12	2020-11-12 18:00:00	30.9	-81.3	35.0	1003.0
52835	ETA	2020	11	13	2020-11-13 00:00:00	31.9	-79.9	40.0	1004.0
52836	ETA	2020	11	13	2020-11-13 06:00:00	32.7	-78.0	40.0	1004.0
52837	ETA	2020	11	13	2020-11-13 12:00:00	34.0	-75.3	40.0	1004.0
52838	ETA	2020	11	13	2020-11-13 18:00:00	35.1	-72.5	40.0	1005.0
52839	ETA	2020	11	14	2020-11-14 00:00:00	35.7	-69.2	35.0	1006.0
