	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52188	ISAIAS	2020	7	28	2020-07-28 12:00:00	12.5	-54.0	35.0	1007.0
52189	ISAIAS	2020	7	28	2020-07-28 18:00:00	13.2	-56.4	35.0	1006.0
52190	ISAIAS	2020	7	29	2020-07-29 00:00:00	14.1	-58.3	40.0	1005.0
52191	ISAIAS	2020	7	29	2020-07-29 06:00:00	14.8	-60.3	40.0	1005.0
52192	ISAIAS	2020	7	29	2020-07-29 12:00:00	15.2	-62.2	40.0	1005.0
52193	ISAIAS	2020	7	29	2020-07-29 18:00:00	15.3	-64.0	40.0	1005.0
52194	ISAIAS	2020	7	30	2020-07-30 00:00:00	15.8	-65.7	45.0	1004.0
52195	ISAIAS	2020	7	30	2020-07-30 06:00:00	16.7	-67.2	50.0	1003.0
52196	ISAIAS	2020	7	30	2020-07-30 12:00:00	17.7	-68.5	55.0	1002.0
52197	ISAIAS	2020	7	30	2020-07-30 16:15:00	18.4	-69.3	55.0	1002.0
52198	ISAIAS	2020	7	30	2020-07-30 18:00:00	18.9	-69.8	60.0	999.0
52199	ISAIAS	2020	7	31	2020-07-31 00:00:00	19.9	-71.2	65.0	996.0
52200	ISAIAS	2020	7	31	2020-07-31 06:00:00	20.5	-72.7	70.0	990.0
52201	ISAIAS	2020	7	31	2020-07-31 09:00:00	20.9	-73.4	70.0	990.0
52202	ISAIAS	2020	7	31	2020-07-31 12:00:00	21.3	-74.0	65.0	992.0
52203	ISAIAS	2020	7	31	2020-07-31 18:00:00	22.1	-75.1	70.0	990.0
52204	ISAIAS	2020	8	1	2020-08-01 00:00:00	22.9	-75.9	75.0	987.0
52205	ISAIAS	2020	8	1	2020-08-01 06:00:00	23.6	-76.7	75.0	987.0
52206	ISAIAS	2020	8	1	2020-08-01 12:00:00	24.3	-77.5	70.0	987.0
52207	ISAIAS	2020	8	1	2020-08-01 13:00:00	24.4	-77.7	70.0	989.0
52208	ISAIAS	2020	8	1	2020-08-01 18:00:00	24.8	-78.3	60.0	993.0
52209	ISAIAS	2020	8	2	2020-08-02 00:00:00	25.3	-78.9	60.0	995.0
52210	ISAIAS	2020	8	2	2020-08-02 06:00:00	25.9	-79.2	55.0	996.0
52211	ISAIAS	2020	8	2	2020-08-02 12:00:00	26.6	-79.5	55.0	995.0
52212	ISAIAS	2020	8	2	2020-08-02 18:00:00	27.4	-79.6	60.0	995.0
52213	ISAIAS	2020	8	3	2020-08-03 00:00:00	28.2	-79.7	60.0	995.0
52214	ISAIAS	2020	8	3	2020-08-03 06:00:00	29.1	-79.9	60.0	995.0
52215	ISAIAS	2020	8	3	2020-08-03 12:00:00	30.1	-80.0	60.0	995.0
52216	ISAIAS	2020	8	3	2020-08-03 18:00:00	31.2	-79.7	65.0	991.0
52217	ISAIAS	2020	8	4	2020-08-04 00:00:00	32.8	-79.1	80.0	986.0
52218	ISAIAS	2020	8	4	2020-08-04 03:10:00	33.9	-78.5	80.0	986.0
52219	ISAIAS	2020	8	4	2020-08-04 06:00:00	35.0	-78.1	60.0	992.0
52220	ISAIAS	2020	8	4	2020-08-04 12:00:00	37.7	-76.8	60.0	993.0
52221	ISAIAS	2020	8	4	2020-08-04 18:00:00	40.9	-75.1	55.0	994.0
52222	ISAIAS	2020	8	5	2020-08-05 00:00:00	44.0	-73.1	45.0	998.0
52223	ISAIAS	2020	8	5	2020-08-05 06:00:00	46.7	-71.8	35.0	1000.0
