	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52041	CRISTOBAL	2020	6	1	2020-06-01 18:00:00	19.4	-90.9	25.0	1006.0
52042	CRISTOBAL	2020	6	2	2020-06-02 00:00:00	19.6	-91.6	25.0	1005.0
52043	CRISTOBAL	2020	6	2	2020-06-02 06:00:00	19.6	-92.1	30.0	1005.0
52044	CRISTOBAL	2020	6	2	2020-06-02 12:00:00	19.5	-92.5	35.0	1004.0
52045	CRISTOBAL	2020	6	2	2020-06-02 18:00:00	19.2	-92.6	40.0	1001.0
52046	CRISTOBAL	2020	6	3	2020-06-03 00:00:00	19.0	-92.5	45.0	996.0
52047	CRISTOBAL	2020	6	3	2020-06-03 06:00:00	18.9	-92.3	50.0	994.0
52048	CRISTOBAL	2020	6	3	2020-06-03 12:00:00	18.8	-92.2	50.0	993.0
52049	CRISTOBAL	2020	6	3	2020-06-03 13:00:00	18.7	-92.1	50.0	993.0
52050	CRISTOBAL	2020	6	3	2020-06-03 18:00:00	18.5	-91.9	45.0	994.0
52051	CRISTOBAL	2020	6	4	2020-06-04 00:00:00	18.2	-91.7	40.0	995.0
52052	CRISTOBAL	2020	6	4	2020-06-04 06:00:00	17.9	-91.5	35.0	997.0
52053	CRISTOBAL	2020	6	4	2020-06-04 12:00:00	17.7	-91.2	30.0	999.0
52054	CRISTOBAL	2020	6	4	2020-06-04 18:00:00	17.6	-90.8	30.0	999.0
52055	CRISTOBAL	2020	6	5	2020-06-05 00:00:00	17.9	-90.4	30.0	999.0
52056	CRISTOBAL	2020	6	5	2020-06-05 06:00:00	18.6	-90.1	35.0	998.0
52057	CRISTOBAL	2020	6	5	2020-06-05 12:00:00	19.6	-89.9	40.0	997.0
52058	CRISTOBAL	2020	6	5	2020-06-05 18:00:00	20.8	-89.9	45.0	997.0
52059	CRISTOBAL	2020	6	6	2020-06-06 00:00:00	22.0	-90.0	50.0	996.0
52060	CRISTOBAL	2020	6	6	2020-06-06 06:00:00	23.0	-90.1	50.0	994.0
52061	CRISTOBAL	2020	6	6	2020-06-06 12:00:00	23.9	-90.2	45.0	992.0
52062	CRISTOBAL	2020	6	6	2020-06-06 18:00:00	24.8	-90.2	45.0	992.0
52063	CRISTOBAL	2020	6	7	2020-06-07 00:00:00	25.8	-90.1	45.0	992.0
52064	CRISTOBAL	2020	6	7	2020-06-07 06:00:00	26.9	-90.0	45.0	992.0
52065	CRISTOBAL	2020	6	7	2020-06-07 12:00:00	28.0	-89.9	45.0	991.0
52066	CRISTOBAL	2020	6	7	2020-06-07 18:00:00	29.0	-89.8	45.0	990.0
52067	CRISTOBAL	2020	6	7	2020-06-07 22:00:00	29.3	-89.8	45.0	990.0
52068	CRISTOBAL	2020	6	8	2020-06-08 00:00:00	29.8	-89.9	45.0	990.0
52069	CRISTOBAL	2020	6	8	2020-06-08 06:00:00	30.6	-90.6	35.0	991.0
52070	CRISTOBAL	2020	6	8	2020-06-08 12:00:00	31.7	-91.5	30.0	993.0
52071	CRISTOBAL	2020	6	8	2020-06-08 18:00:00	32.9	-92.0	30.0	994.0
52072	CRISTOBAL	2020	6	9	2020-06-09 00:00:00	34.2	-92.1	25.0	994.0
52073	CRISTOBAL	2020	6	9	2020-06-09 06:00:00	35.8	-92.2	25.0	993.0
52074	CRISTOBAL	2020	6	9	2020-06-09 12:00:00	38.0	-92.1	25.0	991.0
52075	CRISTOBAL	2020	6	9	2020-06-09 18:00:00	40.3	-91.7	30.0	988.0
52076	CRISTOBAL	2020	6	10	2020-06-10 00:00:00	42.6	-90.8	30.0	986.0
52077	CRISTOBAL	2020	6	10	2020-06-10 06:00:00	45.0	-89.3	35.0	983.0
52078	CRISTOBAL	2020	6	10	2020-06-10 12:00:00	47.5	-87.4	35.0	982.0
52079	CRISTOBAL	2020	6	10	2020-06-10 18:00:00	49.8	-85.1	35.0	982.0
52080	CRISTOBAL	2020	6	11	2020-06-11 00:00:00	51.7	-82.6	30.0	983.0
52081	CRISTOBAL	2020	6	11	2020-06-11 06:00:00	52.7	-81.2	30.0	985.0
52082	CRISTOBAL	2020	6	11	2020-06-11 12:00:00	53.2	-80.4	35.0	987.0
52083	CRISTOBAL	2020	6	11	2020-06-11 18:00:00	53.4	-79.8	35.0	989.0
52084	CRISTOBAL	2020	6	12	2020-06-12 00:00:00	53.3	-79.4	35.0	992.0
52085	CRISTOBAL	2020	6	12	2020-06-12 06:00:00	52.5	-79.1	35.0	998.0
