	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52359	NANA	2020	9	1	2020-09-01 06:00:00	15.9	-75.2	35.0	1006.0
52360	NANA	2020	9	1	2020-09-01 12:00:00	16.3	-76.8	40.0	1004.0
52361	NANA	2020	9	1	2020-09-01 18:00:00	16.7	-78.4	50.0	1002.0
52362	NANA	2020	9	2	2020-09-02 00:00:00	17.0	-80.1	50.0	1000.0
52363	NANA	2020	9	2	2020-09-02 06:00:00	17.0	-81.9	50.0	998.0
52364	NANA	2020	9	2	2020-09-02 12:00:00	17.1	-83.7	50.0	998.0
52365	NANA	2020	9	2	2020-09-02 18:00:00	17.1	-85.3	50.0	998.0
52366	NANA	2020	9	3	2020-09-03 00:00:00	17.0	-86.8	60.0	994.0
52367	NANA	2020	9	3	2020-09-03 03:00:00	16.9	-87.5	65.0	994.0
52368	NANA	2020	9	3	2020-09-03 06:00:00	16.8	-88.3	65.0	994.0
52369	NANA	2020	9	3	2020-09-03 12:00:00	16.4	-89.6	45.0	1001.0
52370	NANA	2020	9	3	2020-09-03 18:00:00	16.1	-90.5	30.0	1005.0
52371	NANA	2020	9	4	2020-09-04 00:00:00	15.8	-91.4	20.0	1007.0
