	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52593	BETA	2020	9	17	2020-09-17 06:00:00	21.1	-94.9	30.0	1007.0
52594	BETA	2020	9	17	2020-09-17 12:00:00	21.5	-94.7	30.0	1007.0
52595	BETA	2020	9	17	2020-09-17 18:00:00	21.8	-94.4	30.0	1005.0
52596	BETA	2020	9	18	2020-09-18 00:00:00	22.0	-94.2	30.0	1005.0
52597	BETA	2020	9	18	2020-09-18 06:00:00	22.6	-94.1	30.0	1005.0
52598	BETA	2020	9	18	2020-09-18 12:00:00	23.2	-93.8	30.0	1005.0
52599	BETA	2020	9	18	2020-09-18 18:00:00	24.1	-93.1	40.0	1003.0
52600	BETA	2020	9	19	2020-09-19 00:00:00	25.2	-92.3	50.0	1000.0
52601	BETA	2020	9	19	2020-09-19 06:00:00	25.8	-92.3	50.0	996.0
52602	BETA	2020	9	19	2020-09-19 12:00:00	26.4	-92.4	50.0	994.0
52603	BETA	2020	9	19	2020-09-19 18:00:00	26.6	-92.2	50.0	995.0
52604	BETA	2020	9	20	2020-09-20 00:00:00	26.8	-92.1	50.0	997.0
52605	BETA	2020	9	20	2020-09-20 06:00:00	26.9	-92.5	50.0	998.0
52606	BETA	2020	9	20	2020-09-20 12:00:00	27.1	-92.8	50.0	996.0
52607	BETA	2020	9	20	2020-09-20 18:00:00	27.5	-93.6	55.0	996.0
52608	BETA	2020	9	21	2020-09-21 00:00:00	27.5	-94.1	50.0	993.0
52609	BETA	2020	9	21	2020-09-21 06:00:00	27.6	-94.8	45.0	995.0
52610	BETA	2020	9	21	2020-09-21 12:00:00	27.8	-95.5	45.0	997.0
52611	BETA	2020	9	21	2020-09-21 18:00:00	28.1	-96.0	40.0	999.0
52612	BETA	2020	9	22	2020-09-22 00:00:00	28.3	-96.3	45.0	998.0
52613	BETA	2020	9	22	2020-09-22 02:45:00	28.4	-96.4	45.0	997.0
52614	BETA	2020	9	22	2020-09-22 06:00:00	28.6	-96.6	40.0	999.0
52615	BETA	2020	9	22	2020-09-22 12:00:00	28.8	-96.8	35.0	1002.0
52616	BETA	2020	9	22	2020-09-22 18:00:00	28.9	-96.5	25.0	1006.0
52617	BETA	2020	9	23	2020-09-23 00:00:00	29.0	-95.8	25.0	1007.0
52618	BETA	2020	9	23	2020-09-23 06:00:00	29.4	-95.4	25.0	1007.0
52619	BETA	2020	9	23	2020-09-23 12:00:00	30.0	-94.6	25.0	1007.0
52620	BETA	2020	9	23	2020-09-23 18:00:00	30.3	-93.8	25.0	1006.0
52621	BETA	2020	9	24	2020-09-24 00:00:00	30.8	-92.4	25.0	1005.0
52622	BETA	2020	9	24	2020-09-24 06:00:00	31.6	-91.5	25.0	1004.0
52623	BETA	2020	9	24	2020-09-24 12:00:00	32.4	-90.6	25.0	1003.0
52624	BETA	2020	9	24	2020-09-24 18:00:00	33.0	-89.1	20.0	1008.0
52625	BETA	2020	9	25	2020-09-25 00:00:00	33.6	-87.6	20.0	1009.0
52626	BETA	2020	9	25	2020-09-25 06:00:00	34.1	-86.5	15.0	1010.0
