	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52098	EDOUARD	2020	7	4	2020-07-04 06:00:00	30.4	-71.2	30.0	1009.0
52099	EDOUARD	2020	7	4	2020-07-04 12:00:00	30.9	-69.4	30.0	1009.0
52100	EDOUARD	2020	7	4	2020-07-04 18:00:00	31.5	-68.0	30.0	1007.0
52101	EDOUARD	2020	7	5	2020-07-05 00:00:00	32.1	-67.0	30.0	1007.0
52102	EDOUARD	2020	7	5	2020-07-05 06:00:00	32.9	-65.8	30.0	1007.0
52103	EDOUARD	2020	7	5	2020-07-05 12:00:00	33.8	-64.2	30.0	1007.0
52104	EDOUARD	2020	7	5	2020-07-05 18:00:00	35.0	-61.9	30.0	1007.0
52105	EDOUARD	2020	7	6	2020-07-06 00:00:00	36.4	-58.5	35.0	1006.0
52106	EDOUARD	2020	7	6	2020-07-06 06:00:00	38.1	-55.3	35.0	1006.0
52107	EDOUARD	2020	7	6	2020-07-06 12:00:00	39.9	-51.7	40.0	1006.0
52108	EDOUARD	2020	7	6	2020-07-06 18:00:00	41.7	-47.8	40.0	1005.0
52109	EDOUARD	2020	7	7	2020-07-07 00:00:00	43.6	-44.1	40.0	1005.0
52110	EDOUARD	2020	7	7	2020-07-07 06:00:00	45.5	-40.3	40.0	1006.0
52111	EDOUARD	2020	7	7	2020-07-07 12:00:00	47.6	-36.6	40.0	1006.0
52112	EDOUARD	2020	7	7	2020-07-07 18:00:00	49.5	-32.5	40.0	1006.0
52113	EDOUARD	2020	7	8	2020-07-08 00:00:00	51.0	-28.0	35.0	1007.0
52114	EDOUARD	2020	7	8	2020-07-08 06:00:00	52.0	-23.5	30.0	1008.0
52115	EDOUARD	2020	7	8	2020-07-08 12:00:00	52.0	-19.0	30.0	1008.0
52116	EDOUARD	2020	7	8	2020-07-08 18:00:00	52.0	-14.0	30.0	1008.0
52117	EDOUARD	2020	7	9	2020-07-09 00:00:00	52.0	-9.0	30.0	1009.0
52118	EDOUARD	2020	7	9	2020-07-09 06:00:00	52.0	-4.0	30.0	1009.0
52119	EDOUARD	2020	7	9	2020-07-09 12:00:00	52.0	0.0	25.0	1010.0
