	Name	Year_	Month	Day	date_time	Latitude	Longitude	Maximum_sustained_wind_in_knots	Minimum_Pressure_in_millibars
52644	ALPHA	2020	9	14	2020-09-14 12:00:00	47.2	-22.0	40.0	1002.0
52645	ALPHA	2020	9	14	2020-09-14 18:00:00	47.2	-22.2	50.0	996.0
52646	ALPHA	2020	9	15	2020-09-15 00:00:00	47.0	-22.4	60.0	992.0
52647	ALPHA	2020	9	15	2020-09-15 06:00:00	46.0	-22.5	60.0	994.0
52648	ALPHA	2020	9	15	2020-09-15 12:00:00	45.0	-22.1	50.0	996.0
52649	ALPHA	2020	9	15	2020-09-15 18:00:00	43.9	-21.4	45.0	998.0
52650	ALPHA	2020	9	16	2020-09-16 00:00:00	42.9	-20.5	40.0	1000.0
52651	ALPHA	2020	9	16	2020-09-16 06:00:00	41.9	-19.8	40.0	1000.0
52652	ALPHA	2020	9	16	2020-09-16 12:00:00	40.9	-19.5	40.0	1000.0
52653	ALPHA	2020	9	16	2020-09-16 18:00:00	39.9	-19.3	40.0	1000.0
52654	ALPHA	2020	9	17	2020-09-17 00:00:00	38.9	-18.9	35.0	1002.0
52655	ALPHA	2020	9	17	2020-09-17 06:00:00	38.3	-18.1	35.0	1002.0
52656	ALPHA	2020	9	17	2020-09-17 12:00:00	37.7	-17.3	35.0	1002.0
52657	ALPHA	2020	9	17	2020-09-17 18:00:00	36.7	-15.6	40.0	999.0
52658	ALPHA	2020	9	18	2020-09-18 00:00:00	36.7	-13.1	45.0	996.0
52659	ALPHA	2020	9	18	2020-09-18 06:00:00	37.9	-11.4	45.0	996.0
52660	ALPHA	2020	9	18	2020-09-18 12:00:00	38.9	-10.3	45.0	996.0
52661	ALPHA	2020	9	18	2020-09-18 18:00:00	39.9	-9.1	45.0	996.0
52662	ALPHA	2020	9	18	2020-09-18 18:40:00	40.0	-8.9	45.0	996.0
52663	ALPHA	2020	9	19	2020-09-19 00:00:00	40.6	-7.6	30.0	1004.0
