latitude,longitude,depth,mag
-11.8387,-77.1634,62.32,4.9
51.702,-173.5383,32.57,5
-2.2358,140.1914,10,5.3
0.7971,126.2078,47.42,4.5
-13.2396,167.1212,218.69,4.6
-33.7647,-72.5338,14.8,5.9
-30.0482,-66.5345,25.56,4.6
53.6309,-163.3135,12.69,4.9
53.6236,-163.2767,17.22,5.8
1.3287,125.7931,56.14,5.8
44.5057,146.91,123.14,4.6
-1.08,-80.2751,40.08,4.5
42.8301,13.1201,10,4.5
-1.4288,-15.5944,10,5.2
-22.197,-68.3722,121.68,4.6
53.6622,-163.7024,18.79,4.9
-12.8141,-76.6573,57.27,4.5
9.2275,-69.9023,10,4.5
42.9226,13.1361,10,4.9
42.9343,13.0434,10,6.1
-11.5728,-13.7838,13.81,5.2
17.7779,-61.1563,10,4.7
42.857,13.0228,10,5.5
39.4927,54.5363,20.39,5.4
-9.3434,-75.4232,42.5,5
35.7335,140.1485,61.23,4.5
-37.3966,179.2975,10,4.6
23.1201,92.7926,41.93,4.7
-15.54,-174.8724,10,6.1
22.8948,94.6065,107.68,4.9
7.0757,92.4647,10,4.8
22.2169,143.8326,103.01,4.7
16.234,-61.4735,90.85,4.6
-4.6705,152.8653,62.14,5
36.8611,141.5083,30.76,4.6
4.1894,-32.5276,10,4.8
-15.3871,-174.8275,10,5.8
-13.7314,165.8501,30.52,5.1
-4.8663,-81.2642,29.97,4.6
32.5488,104.0662,31.2,4.7
0.9014,-28.7567,10,4.6
8.0456,137.5764,28.21,4.5
7.8674,137.2171,71.52,4.7
36.6558,58.6261,10,4.5
-16.7046,-173.882,133.77,4.8
-6.629,154.8844,35,4.7
43.9641,148.0558,48.67,4.8
40.3691,143.7406,35,4.6
1.615,127.4085,162.62,4.7
-26.7023,-71.07,10,5
22.6247,121.4934,2.91,4.9
-1.5832,-15.1823,10,4.9
-2.6056,29.0218,10,4.7
-56.3893,-27.3893,98.97,4.5
40.1964,143.848,10,4.9
-59.148,159.3879,10,4.5
45.2406,150.5744,39.74,4.7
-36.0015,-102.6874,10,5.5
40.214,143.9299,34.7,4.8
19.1019,-104.5909,45.23,5.1
43.9819,148.1617,29.7,5.8
-14.1494,167.2644,165.69,4.5
26.0651,90.256,22.34,4.6
-16.3957,178.33,15.58,4.9
23.1844,142.102,42.01,5
-11.9787,89.5786,10,4.6
-2.961,147.6964,10,4.8
-30.8507,-71.4902,39.77,4.6
-7.5669,106.9779,35,4.5
-55.4608,-28.2537,10,4.6
-23.4341,-68.8781,100.07,4.5
-7.8877,107.6062,69.6,4.6
19.6728,145.4878,130.19,4.6
-2.1293,140.3522,10,4.6
85.5971,83.6553,10,4.7
-6.32,129.8137,24.39,5
52.1489,-177.1693,143.02,4.8
12.4044,144.1071,10,4.8
37.2854,71.9225,201.93,4.5
14.4147,-91.376,96.63,4.6
32.7727,131.8768,48.71,4.9
-37.1254,179.0864,10.89,4.5
28.826,138.7635,493.84,4.7
-6.3505,145.7136,127.11,4.9
-3.4144,145.4435,10,5
1.8419,127.3068,97.34,5
43.6222,148.3864,37.99,4.8
35.3651,133.8024,10,4.6
35.3676,133.8148,5.7,6.2
-1.9878,100.1438,57.34,4.5
13.2229,-45.0959,10,4.7
-9.0645,123.9038,100.86,5.3
17.6307,-94.6084,139.4,4.6
14.6975,-91.6426,96.49,4.6
30.8094,56.5327,10,4.8
52.4569,-172.5774,138.68,4.9
